ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness,Position_Group
228702,F. de Jong,24,https://cdn.sofifa.com/players/228/702/22_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,87,92,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,119500000.0,210000,2229,Right,3.0,3.0,4.0,High/ Medium,Unique,Yes,RCM,21.0,"Jul 1, 2019",2026,180,74,78.0,72.0,72.0,91.0,70.0,88.0,84.0,64.0,87.0,89.0,80.0,82.0,88.0,88.0,79.0,68.0,76.0,90.0,74.0,66.0,75.0,82.0,77.0,86.0,45.0,90.0,76.0,77.0,7.0,13.0,10.0,10.0,9.0,CM,89.0,253900000.0,76.0,MIDFIELDER
204923,M. Sabitzer,27,https://cdn.sofifa.com/players/204/923/22_60.png,Austria,https://cdn.sofifa.com/flags/at.png,84,85,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,48000000.0,110000,2229,Right,3.0,4.0,3.0,High/ High,Normal (170-185),Yes,SUB,18.0,"Aug 30, 2021",2025,178,76,74.0,81.0,60.0,84.0,82.0,79.0,76.0,78.0,81.0,82.0,75.0,81.0,75.0,86.0,80.0,88.0,71.0,85.0,76.0,88.0,77.0,66.0,83.0,83.0,72.0,80.0,70.0,59.0,11.0,13.0,14.0,15.0,13.0,CM,84.0,82800000.0,71.0,SUB
193082,J. Cuadrado,33,https://cdn.sofifa.com/players/193/082/22_60.png,Colombia,https://cdn.sofifa.com/flags/co.png,83,83,Juventus,https://cdn.sofifa.com/teams/45/30.png,19000000.0,95000,2229,Right,3.0,3.0,5.0,High/ Medium,Lean (170-185),Yes,RM,11.0,"Feb 2, 2015",2022,179,72,84.0,70.0,67.0,81.0,70.0,90.0,80.0,69.0,69.0,85.0,91.0,89.0,94.0,82.0,81.0,84.0,80.0,78.0,66.0,80.0,78.0,73.0,75.0,72.0,65.0,74.0,80.0,83.0,5.0,5.0,13.0,6.0,9.0,RB,83.0,31400000.0,75.0,MIDFIELDER
193747,Koke,29,https://cdn.sofifa.com/players/193/747/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,85,85,Atlético de Madrid,https://cdn.sofifa.com/teams/240/30.png,52500000.0,90000,2227,Right,3.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,RCM,6.0,"Jan 1, 2011",2024,176,75,85.0,72.0,61.0,86.0,56.0,80.0,85.0,76.0,84.0,83.0,72.0,69.0,73.0,88.0,82.0,83.0,59.0,93.0,75.0,80.0,79.0,83.0,83.0,86.0,67.0,86.0,81.0,70.0,14.0,12.0,5.0,10.0,13.0,CM,85.0,107600000.0,82.0,MIDFIELDER
210514,João Cancelo,27,https://cdn.sofifa.com/players/210/514/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,86,87,Manchester City,https://cdn.sofifa.com/teams/10/30.png,71500000.0,185000,2227,Right,3.0,4.0,4.0,High/ Medium,Unique,Yes,LB,27.0,"Aug 7, 2019",2025,182,74,86.0,68.0,72.0,85.0,62.0,85.0,84.0,69.0,78.0,85.0,86.0,84.0,80.0,85.0,78.0,80.0,72.0,90.0,62.0,75.0,73.0,80.0,80.0,83.0,46.0,85.0,82.0,80.0,6.0,9.0,15.0,14.0,14.0,RB,86.0,137600000.0,79.0,DEFENDER
200458,L. Digne,27,https://cdn.sofifa.com/players/200/458/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,84,84,Everton,https://cdn.sofifa.com/teams/7/30.png,40500000.0,110000,2227,Left,2.0,2.0,3.0,High/ Medium,Unique,Yes,LB,12.0,"Aug 1, 2018",2023,178,74,88.0,60.0,71.0,81.0,68.0,78.0,83.0,83.0,73.0,84.0,81.0,77.0,74.0,83.0,78.0,83.0,94.0,86.0,69.0,76.0,76.0,82.0,73.0,75.0,60.0,81.0,83.0,84.0,6.0,12.0,9.0,6.0,13.0,LB,84.0,77000000.0,78.0,DEFENDER
208574,F. Kostić,28,https://cdn.sofifa.com/players/208/574/22_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,84,84,Eintracht Frankfurt,https://cdn.sofifa.com/teams/1824/30.png,42500000.0,52000,2227,Left,3.0,2.0,3.0,High/ High,Normal (170-185),Yes,LM,10.0,"May 17, 2019",2023,184,82,91.0,75.0,59.0,80.0,70.0,85.0,79.0,80.0,75.0,82.0,89.0,88.0,76.0,82.0,79.0,85.0,67.0,90.0,77.0,78.0,80.0,63.0,79.0,81.0,64.0,80.0,72.0,68.0,13.0,14.0,12.0,12.0,13.0,LM,84.0,72300000.0,69.0,MIDFIELDER
231281,T. Alexander-Arnold,22,https://cdn.sofifa.com/players/231/281/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,87,92,Liverpool,https://cdn.sofifa.com/teams/9/30.png,114000000.0,150000,2227,Right,3.0,4.0,3.0,High/ Medium,Unique,Yes,RB,66.0,"Oct 7, 2015",2025,180,69,92.0,60.0,69.0,86.0,62.0,78.0,87.0,85.0,90.0,86.0,77.0,80.0,73.0,82.0,73.0,82.0,66.0,88.0,63.0,75.0,74.0,82.0,77.0,87.0,55.0,81.0,83.0,79.0,14.0,15.0,14.0,6.0,7.0,RB,87.0,219500000.0,80.0,DEFENDER
223848,S. Milinković-Savić,26,https://cdn.sofifa.com/players/223/848/22_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,85,87,Lazio,https://cdn.sofifa.com/teams/46/30.png,66000000.0,100000,2224,Right,3.0,5.0,4.0,High/ Medium,Normal (185+),Yes,RCM,21.0,"Aug 6, 2015",2024,191,76,64.0,80.0,86.0,85.0,74.0,84.0,80.0,78.0,85.0,86.0,66.0,70.0,62.0,83.0,63.0,83.0,85.0,91.0,87.0,80.0,79.0,78.0,79.0,82.0,56.0,84.0,79.0,74.0,7.0,10.0,7.0,16.0,7.0,CM,86.0,117200000.0,78.0,MIDFIELDER
181872,A. Vidal,34,https://cdn.sofifa.com/players/181/872/22_60.png,Chile,https://cdn.sofifa.com/flags/cl.png,81,81,Inter,https://cdn.sofifa.com/teams/44/30.png,12000000.0,105000,2224,Right,4.0,4.0,3.0,High/ High,Unique,Yes,SUB,22.0,"Sep 22, 2020",2022,180,75,76.0,75.0,81.0,81.0,78.0,76.0,76.0,68.0,79.0,83.0,66.0,65.0,81.0,81.0,77.0,84.0,82.0,78.0,80.0,81.0,92.0,82.0,78.0,80.0,81.0,80.0,84.0,83.0,4.0,2.0,4.0,2.0,4.0,CM,82.0,20400000.0,80.0,SUB
195864,P. Pogba,28,https://cdn.sofifa.com/players/195/864/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,87,87,Manchester United,https://cdn.sofifa.com/teams/11/30.png,79500000.0,220000,2222,Right,4.0,4.0,5.0,High/ Medium,Unique,Yes,RDM,6.0,"Aug 9, 2016",2022,191,84,77.0,75.0,74.0,88.0,84.0,88.0,85.0,82.0,92.0,90.0,63.0,77.0,73.0,83.0,67.0,90.0,82.0,77.0,89.0,84.0,78.0,65.0,80.0,89.0,81.0,88.0,67.0,63.0,5.0,6.0,2.0,4.0,3.0,CM,87.0,147100000.0,59.0,MIDFIELDER
200145,Casemiro,29,https://cdn.sofifa.com/players/200/145/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,89,89,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,88000000.0,310000,2219,Right,3.0,3.0,2.0,High/ High,Unique,Yes,CDM,14.0,"Jul 11, 2013",2025,185,84,58.0,64.0,79.0,84.0,62.0,69.0,62.0,74.0,84.0,79.0,60.0,69.0,61.0,87.0,66.0,88.0,87.0,89.0,90.0,81.0,91.0,87.0,75.0,80.0,66.0,84.0,88.0,87.0,13.0,14.0,16.0,12.0,12.0,CDM,89.0,180400000.0,85.0,MIDFIELDER
158023,L. Messi,34,https://cdn.sofifa.com/players/158/023/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,93,93,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,78000000.0,320000,2219,Left,5.0,4.0,4.0,Medium/ Low,Unique,Yes,RW,30.0,"Aug 10, 2021",2023,170,72,85.0,95.0,70.0,91.0,88.0,96.0,93.0,94.0,91.0,96.0,91.0,80.0,91.0,94.0,95.0,86.0,68.0,72.0,69.0,94.0,44.0,40.0,93.0,95.0,75.0,96.0,35.0,24.0,6.0,11.0,15.0,14.0,8.0,RW,93.0,144300000.0,20.0,FORWARD
230767,Renato Sanches,23,https://cdn.sofifa.com/players/230/767/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,80,86,LOSC Lille,https://cdn.sofifa.com/teams/65/30.png,33000000.0,38000,2218,Right,3.0,4.0,4.0,High/ High,Normal (170-185),Yes,LCM,18.0,"Aug 23, 2019",2023,176,70,72.0,67.0,61.0,81.0,68.0,84.0,69.0,68.0,79.0,83.0,86.0,83.0,85.0,80.0,89.0,89.0,84.0,87.0,83.0,78.0,84.0,75.0,74.0,79.0,68.0,83.0,74.0,65.0,5.0,12.0,6.0,13.0,14.0,CAM,83.0,69300000.0,73.0,MIDFIELDER
205632,L. Ocampos,26,https://cdn.sofifa.com/players/205/632/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,83,83,Sevilla FC,https://cdn.sofifa.com/teams/481/30.png,39500000.0,46000,2215,Right,2.0,3.0,4.0,High/ High,Normal (185+),No,LW,5.0,"Jul 3, 2019",2024,188,84,79.0,86.0,77.0,80.0,81.0,85.0,80.0,65.0,72.0,84.0,80.0,82.0,79.0,85.0,61.0,84.0,80.0,91.0,81.0,80.0,82.0,72.0,84.0,79.0,79.0,82.0,61.0,55.0,11.0,8.0,15.0,12.0,7.0,LW,83.0,83000000.0,58.0,FORWARD
189332,Jordi Alba,32,https://cdn.sofifa.com/players/189/332/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,86,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,47000000.0,200000,2215,Left,3.0,3.0,3.0,High/ Medium,Unique,Yes,LB,18.0,"Jul 1, 2012",2024,170,68,85.0,73.0,70.0,85.0,60.0,81.0,80.0,63.0,79.0,85.0,87.0,86.0,90.0,80.0,85.0,64.0,80.0,87.0,61.0,66.0,75.0,81.0,83.0,78.0,59.0,80.0,78.0,80.0,13.0,15.0,13.0,6.0,13.0,LB,86.0,96400000.0,74.0,DEFENDER
188545,R. Lewandowski,32,https://cdn.sofifa.com/players/188/545/22_60.png,Poland,https://cdn.sofifa.com/flags/pl.png,92,92,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,119500000.0,270000,2212,Right,5.0,4.0,4.0,High/ Medium,Unique,Yes,ST,9.0,"Jul 1, 2014",2023,185,81,71.0,95.0,90.0,85.0,89.0,85.0,79.0,85.0,70.0,88.0,77.0,79.0,77.0,93.0,82.0,90.0,85.0,76.0,86.0,87.0,81.0,49.0,95.0,81.0,90.0,88.0,42.0,19.0,15.0,6.0,12.0,8.0,10.0,ST,92.0,197200000.0,35.0,FORWARD
209331,M. Salah,29,https://cdn.sofifa.com/players/209/331/22_60.png,Egypt,https://cdn.sofifa.com/flags/eg.png,89,89,Liverpool,https://cdn.sofifa.com/teams/9/30.png,101000000.0,270000,2211,Left,4.0,3.0,4.0,High/ Medium,Unique,Yes,RW,11.0,"Jul 1, 2017",2023,175,71,79.0,91.0,59.0,84.0,81.0,90.0,83.0,69.0,75.0,89.0,89.0,91.0,91.0,92.0,91.0,82.0,69.0,85.0,75.0,84.0,63.0,55.0,91.0,83.0,86.0,90.0,43.0,41.0,14.0,14.0,9.0,11.0,14.0,RW,89.0,186900000.0,38.0,FORWARD
220651,Angeliño,24,https://cdn.sofifa.com/players/220/651/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,86,RB Leipzig,https://cdn.sofifa.com/teams/112172/30.png,46000000.0,77000,2209,Left,2.0,3.0,4.0,High/ High,Normal (170-185),Yes,LB,3.0,"Feb 12, 2021",2025,175,69,88.0,70.0,65.0,81.0,63.0,84.0,83.0,76.0,81.0,84.0,85.0,73.0,83.0,82.0,85.0,80.0,73.0,85.0,60.0,69.0,77.0,80.0,79.0,79.0,55.0,81.0,74.0,80.0,13.0,6.0,13.0,13.0,13.0,LM,84.0,81700000.0,77.0,DEFENDER
20801,Cristiano Ronaldo,36,https://cdn.sofifa.com/players/020/801/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,91,91,Manchester United,https://cdn.sofifa.com/teams/11/30.png,45000000.0,270000,2208,Right,5.0,4.0,5.0,High/ Low,Unique,Yes,ST,7.0,"Aug 27, 2021",2023,187,83,87.0,95.0,90.0,80.0,86.0,88.0,81.0,84.0,77.0,88.0,85.0,88.0,86.0,94.0,74.0,94.0,95.0,77.0,77.0,93.0,63.0,29.0,95.0,76.0,88.0,95.0,32.0,24.0,7.0,11.0,15.0,14.0,11.0,ST,91.0,83300000.0,24.0,FORWARD
190286,Canales,30,https://cdn.sofifa.com/players/190/286/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,83,Real Betis Balompié,https://cdn.sofifa.com/teams/449/30.png,34500000.0,38000,2205,Left,2.0,3.0,4.0,High/ Medium,Lean (170-185),Yes,LM,10.0,"Jul 3, 2018",2023,176,65,81.0,79.0,50.0,84.0,67.0,82.0,85.0,84.0,87.0,83.0,85.0,82.0,83.0,83.0,79.0,78.0,38.0,80.0,71.0,84.0,68.0,77.0,85.0,89.0,80.0,80.0,71.0,58.0,15.0,12.0,16.0,13.0,12.0,CAM,84.0,72500000.0,64.0,MIDFIELDER
202126,H. Kane,27,https://cdn.sofifa.com/players/202/126/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,90,90,Tottenham Hotspur,https://cdn.sofifa.com/teams/18/30.png,129500000.0,240000,2205,Right,4.0,5.0,3.0,High/ High,Unique,Yes,ST,10.0,"Jul 28, 2010",2024,188,89,80.0,94.0,86.0,85.0,88.0,83.0,83.0,65.0,86.0,85.0,65.0,74.0,71.0,92.0,70.0,91.0,79.0,83.0,85.0,86.0,80.0,44.0,94.0,87.0,91.0,91.0,36.0,38.0,8.0,10.0,11.0,14.0,11.0,ST,90.0,246100000.0,50.0,FORWARD
216352,M. Brozović,28,https://cdn.sofifa.com/players/216/352/22_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,84,84,Inter,https://cdn.sofifa.com/teams/44/30.png,37000000.0,130000,2203,Right,3.0,4.0,3.0,Medium/ Medium,Lean (170-185),Yes,CDM,77.0,"Jul 1, 2016",2022,181,68,72.0,69.0,70.0,85.0,65.0,76.0,79.0,74.0,84.0,84.0,70.0,68.0,79.0,76.0,84.0,80.0,70.0,94.0,67.0,84.0,85.0,81.0,70.0,80.0,69.0,82.0,81.0,80.0,8.0,8.0,15.0,11.0,8.0,CDM,84.0,62900000.0,77.0,MIDFIELDER
199556,M. Verratti,28,https://cdn.sofifa.com/players/199/556/22_60.png,Italy,https://cdn.sofifa.com/flags/it.png,87,87,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,79500000.0,155000,2202,Right,3.0,4.0,4.0,Medium/ High,Unique,Yes,CM,6.0,"Jul 18, 2012",2024,165,60,82.0,60.0,57.0,90.0,64.0,91.0,85.0,64.0,89.0,92.0,68.0,60.0,91.0,87.0,94.0,60.0,67.0,76.0,54.0,58.0,89.0,85.0,78.0,89.0,64.0,94.0,82.0,84.0,12.0,12.0,15.0,15.0,10.0,CM,87.0,147100000.0,78.0,MIDFIELDER
189509,Thiago,30,https://cdn.sofifa.com/players/189/509/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,86,Liverpool,https://cdn.sofifa.com/teams/9/30.png,65000000.0,180000,2199,Right,3.0,3.0,5.0,Medium/ Medium,Normal (170-185),Yes,LCM,6.0,"Sep 18, 2020",2024,174,70,78.0,68.0,54.0,90.0,82.0,90.0,85.0,77.0,89.0,92.0,72.0,55.0,91.0,84.0,90.0,75.0,80.0,74.0,59.0,73.0,72.0,82.0,75.0,85.0,75.0,88.0,71.0,68.0,6.0,11.0,7.0,9.0,13.0,CM,86.0,120300000.0,67.0,MIDFIELDER
